Name,Type,Location,Communitys Rating,# Ratings,Expert,Expert Score,ABV %,Cost,Cask,Age
LOS VECINOS DEL CAMPO ESPADIN MEZCAL,MEZCAL JOVEN,"LOS VECINOS DEL CAMPO // OAXACA, MEXICO",3.81,41,JACK ROBERTIELLO,95,45.0,2,UNAGED,NAS
DON AMADO LARGO MEZCAL,MEZCAL JOVEN,"DON AMADO // OAXACA, MEXICO",4.19,10,FORREST COKELY,95,46.0,4,UNAGED,NAS
PATRÓN CASK COLLECTION SHERRY AÑEJO,TEQUILA AÑEJO,"PATRÓN // LOS ALTOS, JALISCO, MEXICO",4.0,3,BRAD JAPHE,95,40.0,4,SHERRY BUTTS,NAS
MEZCALES DE LEYENDA PUEBLA,MEZCAL JOVEN,"MEZCAL DE LEYENDAS // PUEBLA, MEXICO",3.85,15,JOHN RANKIN,95,48.0,4,UNAGED,NAS
123 ORGANIC EXTRA AÑEJO DIABLITO TEQUILA,TEQUILA EXTRA AÑEJO,"123 SPIRITS // JALISCO, MEXICO",4.61,19,AMANDA SCHUSTER,95,40.0,5,"NEW, CHARRED FRENCH OAK",NAS
DEL MAGUEY PECHUGA MEZCAL,MEZCAL JOVEN,"DEL MAGUEY // OAXACA, MEXICO",4.44,65,KELLEY SLAGLE,95,49.0,5,UNAGED,NAS
WAHAKA MEZCAL TOBALÁ,MEZCAL JOVEN,"WAHAKA MEZCAL // OAXACA, MEXICO",4.38,18,DANIEL DJANG,95,42.0,3,UNAGED,NAS
WAHAKA MEZCAL JOVEN MADRE CUISHE,MEZCAL JOVEN,"WAHAKA MEZCAL // OAXACA, MEXICO",4.09,17,DANIEL DJANG,95,42.0,3,UNAGED,NAS
DON PILAR EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,"DON PILAR // LOS ALTOS, JALISCO, MEXICO",4.45,6,AMANDA SCHUSTER,95,40.0,5,AMERICAN WHITE OAK AND FRENCH LIMOUSIN OAK,NAS
FUENTESECA RESERVA EXTRA AÑEJO TEQUILA 21 AÑOS,TEQUILA EXTRA AÑEJO,"LOS ALTOS, JALISCO, MEXICO",4.81,4,JACOB GRIER,95,43.5,5,,
MEZCAL VAGO TOBALÁ,MEZCAL JOVEN,"MEZCAL VAGO // OAXACA, MEXICO",4.33,25,DUNCAN MCROBERTS,95,51.0,4,UNAGED,NAS
DON JULIO AÑEJO TEQUILA,TEQUILA AÑEJO,"LOS ALTOS, JALISCO, MEXICO",4.22,494,RON BECHTOL,95,40.0,3,,
DULCE VIDA AÑEJO 100 PROOF TEQUILA,TEQUILA AÑEJO,"DULCE VIDA // LOS ALTOS, JALISCO, MEXICO",4.3,31,RON BECHTOL,95,50.0,2,AMERICAN OAK EX-BOURBON,NAS
ESPÍRITU LAURO AÑEJO MEZCAL,MEZCAL AÑEJO,"OAXACA, MEXICO",3.64,7,AMANDA SCHUSTER,95,40.0,4,,
T1 TEQUILA BLANCO ULTRA FINO,TEQUILA BLANCO,"T1 TEQUILA UNO // LOS ALTOS, JALISCO, MEXICO",4.54,11,RON BECHTOL,95,40.0,2,,NAS
GRAN CENTENARIO PLATA TEQUILA,TEQUILA BLANCO,"GRAN CENTENARIO // JALISCO, MEXICO",4.1,94,AMANDA SCHUSTER,95,40.0,2,FRENCH LIMOUSIN OAK,NAS
TEQUILA OCHO REPOSADO LAS POMEZ 2009,TEQUILA REPOSADO,"TEQUILA OCHO // LOS ALTOS, JALISCO, MEXICO",4.64,7,DANIEL DJANG,95,40.0,3,TEQUILA-SEASONED AMERICAN OAK EX-AMERICAN WHISKEY BARRELS,
SIEMBRA AZUL 10TH ANNIVERSARY REPOSADO TEQUILA,TEQUILA REPOSADO,"SIEMBRA AZUL // JALISCO, MEXICO",4.72,9,AMANDA SCHUSTER,95,40.0,2,"NEW, WHITE MISSOURI OAK",NAS
TEQUILA OCHO PLATA MIRANDILLAS PUNTAS DISTILLER'S CUT 2024,TEQUILA BLANCO,"TEQUILA OCHO // LOS ALTOS, JALISCO, MEXICO",4.5,2,STEPHANIE MORENO,94,54.0,3,,NAS
PRÓSPERO BLANCO TEQUILA,TEQUILA BLANCO,"PRÓSPERO // TEQUILA VALLEY, JALISCO, MEXICO",3.59,9,ANNA ARCHIBALD,94,40.0,2,UNAGED,NAS
TEQUILA EL MAYOR SINGLE ESTATE LOS LOBOS PLANTATION BLANCO,TEQUILA BLANCO,"TEQUILA EL MAYOR // JALISCO, MEXICO",4.0,6,JOHN RANKIN,94,40.0,4,UNAGED,NAS
DON AMADO PECHUGA MEZCAL,MEZCAL JOVEN,"DON AMADO // OAXACA, MEXICO",4.5,3,FORREST COKELY,94,46.0,4,UNAGED,NAS
DON AMADO ARROQUEÑO MEZCAL,MEZCAL JOVEN,"DON AMADO // OAXACA, MEXICO",3.96,7,FORREST COKELY,94,47.0,4,UNAGED,NAS
SOTOL COYOTE BLANCO CHIHUAHUA,SOTOL,"COYOTE // CHIHUAHUA, MEXICO",4.18,10,JOHN RANKIN,94,48.0,3,,NAS
4 COPAS TEQUILA AÑEJO,TEQUILA AÑEJO,"4 COPAS // JALISCO, MEXICO",4.46,12,JACK ROBERTIELLO,94,40.0,3,AMERICAN OAK,NAS
DON PILAR REPOSADO TEQUILA,TEQUILA REPOSADO,"DON PILAR // LOS ALTOS, JALISCO, MEXICO",4.75,1,AMANDA SCHUSTER,94,40.0,2,VIRGIN WHITE OAK,NAS
ARTA TEQUILA AÑEJO,TEQUILA AÑEJO,"ARTA TEQUILA // TEQUILA VALLEY, JALISCO, MEXICO",4.48,7,AMANDA SCHUSTER,94,40.0,2,EX-BOURBON,NAS
SIEMBRA METL CENIZO MEZCAL,MEZCAL JOVEN,"SIEMBRA METL // MICHOACAN, MEXICO",3.61,7,OMARI WHEAT,94,48.0,3,NONE,NAS
GRACIAS A DIOS MEZCAL TOBALÁ,MEZCAL JOVEN,"GRACIAS A DIOS // OAXACA, MEXICO",4.33,14,AMANDA SCHUSTER,94,45.0,3,,NAS
TEQUILA SAN MATIAS GRAN RESERVA EXTRA AÑEJO,TEQUILA EXTRA AÑEJO,"TEQUILA SAN MATIAS // LOS ALTOS, JALISCO, MEXICO",4.38,48,AMANDA SCHUSTER,94,40.0,3,"EX-BOURBON, FRENCH OAK",NAS
WAHAKA MEZCAL JOVEN ENSAMBLE,MEZCAL JOVEN,"WAHAKA MEZCAL // OAXACA, MEXICO",4.6,12,DANIEL DJANG,94,40.0,3,,NAS
ILEGAL MEZCAL AÑEJO,MEZCAL AÑEJO,"ILEGAL MEZCAL // OAXACA, MEXICO",4.26,90,AMANDA SCHUSTER,94,40.0,4,NEW & USED AMERICAN OAK,NAS
TEQUILA LAPIS PLATINUM,TEQUILA BLANCO,"TEQUILA LAPIS // LOS ALTOS, JALISCO, MEXICO",4.0,2,RON BECHTOL,94,40.0,2,,NAS
FUENTESECA RESERVA EXTRA AÑEJO TEQUILA 12 AÑOS,TEQUILA EXTRA AÑEJO,"LOS ALTOS, JALISCO, MEXICO",4.5,3,JACOB GRIER,94,45.0,5,,
AVIÓN RESERVA 44 EXTRA AÑEJO,TEQUILA EXTRA AÑEJO,"AVIÓN // LOS ALTOS, JALISCO, MEXICO",4.42,131,PAUL BELBUSTI,94,40.0,4,OAK BARRELS,NAS
LA VENENOSA COSTA RAICILLA (GREEN LABEL),RAICILLA,"LA VENENOSA // JALISCO, MEXICO",4.11,26,OMARI WHEAT,94,45.5,3,UNAGED,NAS
DON JULIO BLANCO TEQUILA,TEQUILA BLANCO,"LOS ALTOS, JALISCO, MEXICO",3.95,384,RON BECHTOL,94,40.0,2,,
BRUXO NO. 4 ENSAMBLE MEZCAL,MEZCAL JOVEN,"OAXACA, MEXICO",4.05,16,AMANDA SCHUSTER,94,46.0,4,,
EL JOLGORIO ESPADÍN MEZCAL,MEZCAL JOVEN,"OAXACA, MEXICO",4.42,31,DANIEL DJANG,94,47.8,4,,NAS
MEZCAL DE LAS HORMIGAS,MEZCAL JOVEN,"OAXACA, MEXICO",1.0,3,AMANDA SCHUSTER,94,40.0,2,,
T1 TEQUILA AÑEJO ESTELAR,TEQUILA AÑEJO,"T1 TEQUILA UNO // LOS ALTOS, JALISCO, MEXICO",4.5,10,RON BECHTOL,94,40.0,3,EX-WHISKY,NAS
TEQUILA ARTENOM SELECCIÓN DE 1146 AÑEJO,TEQUILA AÑEJO,"TEQUILA ARTENOM // LOS ALTOS, JALISCO, MEXICO",4.26,70,OMARI WHEAT,94,,4,EX-FRENCH CABERNET FRANC WINE CASKS & AMERICAN OAK,NAS
DEL MAGUEY CHICHICAPA MEZCAL,MEZCAL JOVEN,"DEL MAGUEY // OAXACA, MEXICO",4.32,255,OMARI WHEAT,94,46.0,3,UNAGED,
EXPRESIONES DEL CORAZÓN OLD RIP VAN WINKLE AÑEJO TEQUILA,TEQUILA AÑEJO,"LOS ALTOS, JALISCO, MEXICO",4.64,11,AMANDA SCHUSTER,94,40.0,3,,
FORTALEZA BLANCO TEQUILA,TEQUILA BLANCO,"TEQUILA FORTALEZA // TEQUILA VALLEY, JALISCO, MEXICO",4.45,266,STEPHANIE MORENO,94,40.0,2,,NAS
TEQUILA TAPATIO AÑEJO,TEQUILA AÑEJO,"TEQUILA TAPATIO // LOS ALTOS, JALISCO, MEXICO",3.74,25,AMANDA SCHUSTER,94,40.0,2,EX-BOURBON,NAS
MEZCALERO NO. 10,MEZCAL JOVEN,"OAXACA, MEXICO",4.0,6,STEPHANIE MORENO,94,46.7,4,,
TEQUILA ARTENOM SELECCIÓN DE 1580 BLANCO,TEQUILA BLANCO,"TEQUILA ARTENOM // LOS ALTOS, JALISCO, MEXICO",4.43,7,STEPHANIE MORENO,94,40.0,2,UNAGED,NAS
AZUÑIA AÑEJO TEQUILA,TEQUILA AÑEJO,"AZUÑIA // JALISCO, MEXICO",4.41,21,RON BECHTOL,94,40.0,2,AMERICAN OAK,NAS
AZUÑIA REPOSADO ORGANIC TEQUILA,TEQUILA REPOSADO,"AZUÑIA // JALISCO, MEXICO",4.09,24,RON BECHTOL,94,40.0,2,AMERICAN OAK,NAS
LALO HIGH PROOF TEQUILA,TEQUILA BLANCO,"LALO TEQUILA // JALISCO, MEXICO",4.0,1,AMANDA SCHUSTER,93,54.0,3,,NAS
EXPRESIONES DEL CORAZÓN FRENCH OAK AÑEJO TEQUILA (2023 COLLECTION),TEQUILA AÑEJO,"EXPRESIONES DEL CORAZÓN // LOS ALTOS, JALISCO, MEXICO",4.25,1,AMANDA SCHUSTER,93,40.0,3,EX-OLD CHARTER OAK FRENCH OAK BOURBON BARRELS,NAS
CIERTO TEQUILA PRIVATE COLLECTION EXTRA AÑEJO,TEQUILA EXTRA AÑEJO,"CIERTO // JALISCO, MEXICO",3.83,4,AMANDA SCHUSTER,93,40.0,5,FRENCH LIMOUSIN OAK,NAS
DON JULIO ROSADO,TEQUILA REPOSADO,"DON JULIO // LOS ALTOS, JALISCO, MEXICO",3.54,6,STEPHANIE MORENO,93,40.0,4,RUBY PORT WINE CASKS,NAS
FORTALEZA REPOSADO WINTER BLEND 2022,TEQUILA REPOSADO,"TEQUILA FORTALEZA // TEQUILA VALLEY, JALISCO, MEXICO",4.5,5,AMANDA SCHUSTER,93,43.5,4,"AMERICAN OAK, EX-TOKAJI, EX-OLOROSO SHERRY",NAS
EL LUCHADOR REPOSADO TEQUILA,TEQUILA REPOSADO,"EL LUCHADOR // LOS ALTOS, JALISCO, MEXICO",4.25,2,STEPHANIE MORENO,93,40.0,2,WHITE OAK BARRELS,NAS
BOZAL GUÍAS DE CALABAZA SACRIFICIO,MEZCAL JOVEN,BOZAL // MEXICO,4.63,2,JAKE EMEN,93,47.0,4,,NAS
OAX ORIGINAL TEPEZTATE,MEZCAL JOVEN,"OAX ORIGINAL // OAXACA, MEXICO",4.83,3,JAKE EMEN,93,44.0,5,,NAS
HERRADURA LEGEND TEQUILA,TEQUILA AÑEJO,"HERRADURA // TEQUILA VALLEY, JALISCO, MEXICO",4.03,28,STEPHANIE MORENO,93,40.0,4,"GROOVED, HEAVILY-CHARRED AMERICAN WHITE OAK",NAS
CINCORO AÑEJO,TEQUILA AÑEJO,"CINCORO // JALISCO, MEXICO",4.27,52,JAKE EMEN,93,40.0,4,EX-AMERICAN WHISKEY BARRELS,NAS
DON JULIO REPOSADO DOUBLE CASK LAGAVULIN FINISH,TEQUILA REPOSADO,"DON JULIO // LOS ALTOS, JALISCO, MEXICO",4.28,43,ANNA ARCHIBALD,93,40.0,3,FINISHED IN LAGAVULIN CASKS,NAS
EL TESORO EXTRA AÑEJO 80TH ANNIVERSARY,TEQUILA EXTRA AÑEJO,"EL TESORO // LOS ALTOS, JALISCO, MEXICO",4.63,8,STEPHANIE MORENO,93,41.5,5,AMERICAN OAK EX-BOURBON,8 YEAR
MEZCALES DE LEYENDA SAN LUIS POTOSÍ,MEZCAL JOVEN,"MEZCAL DE LEYENDAS // SAN LUIS POTOSÍ, MEXICO",4.28,10,JOHN RANKIN,93,42.0,3,UNAGED,NAS
PASOTE TEQUILA BLANCO,TEQUILA BLANCO,"PASOTE // LOS ALTOS, JALISCO, MEXICO",4.17,37,FORREST COKELY,93,40.0,2,UNAGED,NAS
HERRADURA COLECCIÓN DE LA CASA RESERVA 2016 PORT CASK FINISHED REPOSADO,TEQUILA REPOSADO,"HERRADURA // JALISCO, MEXICO",4.45,10,RON BECHTOL,93,40.0,4,AMERICAN WHITE OAK AND VINTAGE PORT,NAS
REY CAMPERO CUISHE MEZCAL,MEZCAL JOVEN,"REY CAMPERO // OAXACA, MEXICO",4.17,19,AMANDA SCHUSTER,93,48.1,3,UNAGED,NAS
TEQUILA ORGULLO PUEBLO VIEJO AÑEJO,TEQUILA AÑEJO,"PUEBLO VIEJO // JALISCO , MEXICO",4.88,6,AMANDA SCHUSTER,93,40.0,2,"EX-BOURBON, FRENCH OAK",NAS
EL JOLGORIO CUIXE MEZCAL,MEZCAL JOVEN,"EL JOLGORIO // OAXACA, MEXICO",4.49,18,JACOB GRIER,93,47.0,4,,NAS
TEQUILA OCHO AÑEJO EL VERGEL 2007,TEQUILA AÑEJO,"TEQUILA OCHO // LOS ALTOS, JALISCO, MEXICO",4.31,3,KELLEY SLAGLE,93,40.0,4,USED WHISKEY BARRELS,NAS
MEZCAL PIERDE ALMAS TOBAZICHE,MEZCAL JOVEN,"PIERDE ALMAS // OAXACA, MEXICO",4.55,13,DANIEL DJANG,93,48.0,4,,NAS
EL TESORO AÑEJO TEQUILA,TEQUILA AÑEJO,"EL TESORO // LOS ALTOS, JALISCO, MEXICO",4.08,114,STEPHANIE MORENO,93,40.0,4,EX-BOURBON,NAS
DON FULANO REPOSADO TEQUILA,TEQUILA REPOSADO,"DON FULANO // TEQUILA VALLEY, JALISCO, MEXICO",4.23,23,AMANDA SCHUSTER,93,40.0,3,NEW AND USED FRENCH LIMOUSIN OAK,NAS
TEQUILA LAPIS AÑEJO,TEQUILA AÑEJO,"TEQUILA LAPIS // LOS ALTOS, JALISCO, MEXICO",4.3,5,RON BECHTOL,93,40.0,3,FRENCH OAK,
FUENTESECA RESERVA EXTRA AÑEJO TEQUILA 18 AÑOS,TEQUILA EXTRA AÑEJO,"LOS ALTOS, JALISCO, MEXICO",5.0,2,JACOB GRIER,93,43.5,5,,
REY CAMPERO MEXICANO MEZCAL,MEZCAL JOVEN,"REY CAMPERO // OAXACA, MEXICO",4.33,22,RON BECHTOL,93,48.6,4,,NAS
MEZCAL VAGO BLANCO Y NEGRA,MEZCAL JOVEN,"MEZCAL VAGO // OAXACA, MEXICO",3.5,2,DUNCAN MCROBERTS,93,51.6,4,UNAGED,NAS
KOCH EL MEZCAL LUMBRE,MEZCAL JOVEN,"KOCH EL MEZCAL // OAXACA, MEXICO",4.45,5,OMARI WHEAT,93,47.0,4,UNAGED,NAS
CLASE AZUL TEQUILA PLATA,TEQUILA BLANCO,"CLASE AZUL // LOS ALTOS, JALISCO, MEXICO",4.14,91,BROCK SCHULTE,93,40.0,3,UNAGED,NAS
