Name,Type,Location,Communitys Rating,# Ratings,Expert,Expert Score,ABV %,Cost,Cask,Age
PASOTE TEQUILA REPOSADO,TEQUILA REPOSADO,"PASOTE // LOS ALTOS, JALISCO, MEXICO",4.18,35,FORREST COKELY,92,40.0,2,EX-BOURBON AMERICAN OAK,NAS
DEL MAGUEY TEPEXTATE MEZCAL,MEZCAL JOVEN,"DEL MAGUEY // OAXACA, MEXICO",4.41,16,OMARI WHEAT,92,45.0,4,UNAGED,NAS
REY CAMPERO ESPADÍN MEZCAL,MEZCAL JOVEN,"REY CAMPERO // OAXACA , MEXICO",3.89,48,AMANDA SCHUSTER,92,48.0,3,NONE,NAS
VILLA LOBOS AÑEJO TEQUILA,TEQUILA AÑEJO,"VILLA LOBOS // LOS ALTOS, JALISCO, MEXICO",3.25,2,OMARI WHEAT,92,40.0,3,AMERICAN OAK,NAS
EL LUCHADOR ORGANIC BLANCO TEQUILA (DISCONTINUED),TEQUILA BLANCO,"123 SPIRITS // JALISCO , MEXICO",3.65,11,AMANDA SCHUSTER,92,55.0,3,,NAS
OCHO CIENTOS SOTOL AÑEJO,SOTOL,"OCHO CIENTOS // CHIHUAHUA, MEXICO",2.5,2,AMANDA SCHUSTER,92,43.0,3,EX-TENNESSEE WHISKEY,NAS
MEZCALERO NO. 3,MEZCAL JOVEN,MEZCALERO // MEXICO,4.6,4,KELLEY SLAGLE,92,47.0,3,N/A,NAS
GRACIAS A DIOS MEZCAL TEPEXTATE,MEZCAL JOVEN,"GRACIAS A DIOS // OAXACA, MEXICO",4.25,12,AMANDA SCHUSTER,92,45.0,3,,NAS
GRACIAS A DIOS MEZCAL ESPADÍN REPOSADO,MEZCAL REPOSADO,"GRACIAS A DIOS // OAXACA, MEXICO",3.96,18,AMANDA SCHUSTER,92,45.0,2,EX-BOURBON,NAS
WAHAKA MEZCAL REPOSADO CON GUSANO,MEZCAL REPOSADO,"WAHAKA MEZCAL // OAXACA, MEXICO",3.73,25,DANIEL DJANG,92,40.0,3,,NAS
EL JOLGORIO MADRECUIXE MEZCAL,MEZCAL JOVEN,"EL JOLGORIO // OAXACA, MEXICO",4.17,17,JACOB GRIER,92,47.0,4,,NAS
TEQUILA CHAMUCOS REPOSADO,TEQUILA REPOSADO,"CHAMUCOS // JALISCO , MEXICO",4.26,35,AMANDA SCHUSTER,92,40.0,2,EX-BOURBON,NAS
DEL MAGUEY MINERO SANTA CATARINA MINAS MEZCAL,MEZCAL JOVEN,"DEL MAGUEY // OAXACA, MEXICO",4.12,59,STEPHANIE MORENO,92,49.0,3,UNAGED,NAS
ALACRÁN CRISTAL TEQUILA,TEQUILA AÑEJO,"AUTÉNTICO ALACRÁN // LOS ALTOS, JALISCO, MEXICO",4.75,8,RON BECHTOL,92,40.0,3,EX-BOURBON AMERICAN OAK,NAS
DON PILAR AÑEJO TEQUILA,TEQUILA AÑEJO,"DON PILAR // LOS ALTOS, JALISCO, MEXICO",4.1,5,AMANDA SCHUSTER,92,40.0,3,VIRGIN AMERICAN WHITE OAK,NAS
DON FULANO BLANCO TEQUILA,TEQUILA BLANCO,"DON FULANO // TEQUILA VALLEY, JALISCO, MEXICO",4.18,21,AMANDA SCHUSTER,92,40.0,2,,NAS
EMBAJADOR SUPREME TEQUILA,TEQUILA AÑEJO,"EMBAJADOR // LOS ALTOS, JALISCO, MEXICO",4.38,2,AMANDA SCHUSTER,92,40.0,3,"EX-BOURBON, EX-COGNAC",NAS
1800 SELECT SILVER TEQUILA (100 PROOF),TEQUILA BLANCO,"1800 TEQUILA // TEQUILA VALLEY, JALISCO, MEXICO",3.12,17,KATRINA NIEMISTO,92,50.0,2,,NAS
FUENTESECA RESERVA EXTRA AÑEJO TEQUILA 15 AÑOS,TEQUILA EXTRA AÑEJO,"LOS ALTOS, JALISCO, MEXICO",4.0,2,JACOB GRIER,92,43.0,5,,
FUENTESECA RESERVA EXTRA AÑEJO TEQUILA 7 AÑOS,TEQUILA EXTRA AÑEJO,"LOS ALTOS, JALISCO, MEXICO",4.36,9,JACOB GRIER,92,42.0,5,,
MEZCAL VAGO CUIXE,MEZCAL JOVEN,"MEZCAL VAGO // OAXACA, MEXICO",4.37,20,DUNCAN MCROBERTS,92,49.9,4,UNAGED,NAS
REY CAMPERO JABALÍ MEZCAL,MEZCAL JOVEN,"REY CAMPERO // OAXACA, MEXICO",4.16,26,RON BECHTOL,92,49.0,4,UNAGED,NAS
LA VENENOSA SIERRA DEL TIGRE (ORANGE LABEL),RAICILLA,"JALISCO, MEXICO",4.25,25,OMARI WHEAT,92,46.0,4,,
FORTALEZA REPOSADO TEQUILA,TEQUILA REPOSADO,"TEQUILA FORTALEZA // TEQUILA VALLEY, JALISCO, MEXICO",4.36,180,OMARI WHEAT,92,40.0,3,USED AMERICAN OAK WHISKEY BARRELS,NAS
KOCH EL MEZCAL TOBASICHE,MEZCAL JOVEN,"OAXACA, MEXICO",,,OMARI WHEAT,92,47.0,4,,
KOCH EL MEZCAL TEPEXTATE,MEZCAL JOVEN,"KOCH EL MEZCAL // OAXACA, MEXICO",4.0,1,OMARI WHEAT,92,47.0,4,UNAGED,NAS
KOCH EL MEZCAL TOBALÁ,MEZCAL JOVEN,"OAXACA, MEXICO",4.31,4,OMARI WHEAT,92,47.0,4,,
DON JULIO 1942 TEQUILA,TEQUILA AÑEJO,"LOS ALTOS, JALISCO, MEXICO",4.48,703,STEPHANIE MORENO,92,40.0,4,,
SCORPION MEZCAL ANEJO TOBALÁ,MEZCAL AÑEJO,"OAXACA, MEXICO",2.75,4,DISTILLER STAFF,92,40.0,5,,
MEZCAL MARCA NEGRA ESPADÍN,MEZCAL JOVEN,"OAXACA, MEXICO",4.15,38,DISTILLER STAFF,92,51.1,3,,
BRUXO NO. 2 PECHUGA DE MAGUEY MEZCAL,MEZCAL JOVEN,"BRUXO // OAXACA, MEXICO",4.03,26,AMANDA SCHUSTER,92,46.0,3,UNAGED,NAS
CASA NOBLE SINGLE BARREL REPOSADO TEQUILA,TEQUILA REPOSADO,"CASA NOBLE // TEQUILA VALLEY, JALISCO, MEXICO",4.3,16,DANIEL DJANG,92,40.0,3,FRENCH LIMOUSIN OAK,NAS
ESPOLÒN AÑEJO TEQUILA,TEQUILA AÑEJO,"ESPOLÒN // LOS ALTOS, JALISCO, MEXICO",3.99,189,DISTILLER STAFF,92,40.0,2,NEW AMERICAN OAK & USED BOURBON BARRELS,NAS
T1 TEQUILA BLANCO SELECTO,TEQUILA BLANCO,"T1 TEQUILA UNO // LOS ALTOS, JALISCO, MEXICO",4.7,5,RON BECHTOL,92,43.0,2,,NAS
GRAN CENTENARIO REPOSADO TEQUILA,TEQUILA REPOSADO,"GRAN CENTENARIO // JALISCO, MEXICO",3.92,113,AMANDA SCHUSTER,92,40.0,2,FRENCH LIMOUSIN OAK,NAS
HERRADURA AÑEJO TEQUILA,TEQUILA AÑEJO,"TEQUILA VALLEY, JALISCO, MEXICO",4.07,281,DISTILLER STAFF,92,40.0,3,,
EL JIMADOR REPOSADO TEQUILA,TEQUILA REPOSADO,"TEQUILA VALLEY, JALISCO, MEXICO",3.48,243,DISTILLER STAFF,92,40.0,1,,
EL TESORO BLANCO TEQUILA,TEQUILA BLANCO,"EL TESORO // LOS ALTOS, JALISCO, MEXICO",4.21,118,OMARI WHEAT,92,40.0,2,UNAGED,NAS
HERENCIA MEXICANA BLANCO TEQUILA,TEQUILA BLANCO,"LOS ALTOS, JALISCO, MEXICO",4.57,12,OMARI WHEAT,92,40.0,2,,
TEQUILA OCHO EXTRA AÑEJO EL CARRIZAL 2008,TEQUILA AÑEJO,"TEQUILA OCHO // LOS ALTOS, JALISCO, MEXICO",5.0,2,DANIEL DJANG,92,40.0,4,,
EXPRESIONES DEL CORAZÓN SAZERAC RYE AÑEJO TEQUILA,TEQUILA AÑEJO,"LOS ALTOS, JALISCO, MEXICO",4.65,12,AMANDA SCHUSTER,92,45.0,3,,
PARTIDA REPOSADO TEQUILA,TEQUILA REPOSADO,"PARTIDA // TEQUILA VALLEY, JALISCO, MEXICO",3.68,38,AMANDA SCHUSTER,92,40.0,2,EX-JACK DANIEL'S BARRELS,NAS
MEZCAL AMARÁS ESPADÍN JOVEN,MEZCAL JOVEN,"OAXACA, MEXICO",3.8,30,AMANDA SCHUSTER,92,41.0,2,,
SUERTE AÑEJO TEQUILA,TEQUILA AÑEJO,"LOS ALTOS, JALISCO, MEXICO",4.22,19,DANIEL DJANG,92,40.0,3,,
TEQUILA OCHO AÑEJO EL PUERTECITO 2011,TEQUILA AÑEJO,"TEQUILA OCHO // LOS ALTOS, JALISCO, MEXICO",4.19,4,BROCK SCHULTE,92,40.0,3,,
TEQUILA ARTENOM SELECCIÓN DE 1549 ORGÁNICO BLANCO,TEQUILA BLANCO,"TEQUILA ARTENOM // TEQUILA VALLEY, JALISCO, MEXICO",3.96,7,STEPHANIE MORENO,92,40.0,3,UNAGED,NAS
SIEMBRA VALLES BLANCO TEQUILA,TEQUILA BLANCO,"SIEMBRA SPIRITS // TEQUILA VALLEY, JALISCO, MEXICO",4.18,17,AMANDA SCHUSTER,92,40.0,2,,NAS
EXPRESIONES DEL CORAZÓN BUFFALO TRACE REPOSADO (2ND RELEASE),TEQUILA REPOSADO,"TEQUILA CORAZÓN // LOS ALTOS, JALISCO, MEXICO",4.21,6,AMANDA SCHUSTER,92,40.0,3,EX-BOURBON,NAS
CASAMIGOS REPOSADO TEQUILA,TEQUILA REPOSADO,"CASAMIGOS // LOS ALTOS, JALISCO, MEXICO",4.07,610,STEPHANIE MORENO,92,40.0,2,USED WHISKEY BARRELS,NAS
CAMBIO REPOSADO TEQUILA,TEQUILA REPOSADO,"CAMBIO TEQUILA // JALISCO, MEXICO",,,AMANDA SCHUSTER,91,46.0,3,"BURGUNDY, BORDEAUX, AND FRENCH OAK CHARDONNAY CASKS",NAS
MAYENDA REPOSADO DOUBLE CASK,TEQUILA REPOSADO,"MAYENDA // JALISCO, MEXICO",,,AMANDA SCHUSTER,91,40.0,3,"AMERICAN OAK, EUROPEAN OAK",NAS
TEQUILA OCHO PLATA CORRALILLOS 2023,TEQUILA BLANCO,"TEQUILA OCHO // LOS ALTOS, JALISCO, MEXICO",4.38,4,STEPHANIE MORENO,91,40.0,2,,NAS
ALMA DEL JAGUAR BLANCO TEQUILA,TEQUILA BLANCO,"ALMA DEL JAGUAR // LOS ALTOS, JALISCO, MEXICO",3.88,4,JAKE EMEN,91,40.0,2,,NAS
MAYENDA TEQUILA BLANCO,TEQUILA BLANCO,"MAYENDA // JALISCO, MEXICO",,,AMANDA SCHUSTER,91,40.0,3,,NAS
CIERTO TEQUILA PRIVATE COLLECTION REPOSADO,TEQUILA REPOSADO,"CIERTO // JALISCO, MEXICO",4.38,2,AMANDA SCHUSTER,91,40.0,4,FRENCH LIMOUSIN OAK,NAS
DOS HOMBRES TOBALÁ,MEZCAL JOVEN,DOS HOMBRES // MEXICO,,,JAKE EMEN,91,45.0,5,,NAS
CÓDIGO 1530 ESTATE HARVEST STILL STRENGTH BLANCO,TEQUILA BLANCO,"CÓDIGO 1530 // JALISCO, MEXICO",4.38,2,STEPHANIE MORENO,91,45.0,3,,NAS
TEQUILA ETERNO VERANO AÑEJO,TEQUILA AÑEJO,"ETERNO VERANO // TEQUILA VALLEY, JALISCO, MEXICO",4.75,1,AMANDA SCHUSTER,91,40.0,3,WHISKEY BARRELS,NAS
CALIROSA ROSA BLANCO TEQUILA,TEQUILA BLANCO,"CALIROSA // JALISCO, MEXICO",4.23,11,AMANDA SCHUSTER,91,40.0,2,CALIFORNIA RED WINE BARRELS,30 DAYS
VAMONOS RIENDO MEZCAL JOVEN,MEZCAL JOVEN,"VAMONOS RIENDO // OAXACA, MEXICO",,,ANNA ARCHIBALD,91,42.0,3,UNAGED,NAS
VOLCÁN DE MI TIERRA CRISTALINO AÑEJO,TEQUILA AÑEJO,"VOLCÁN DE MI TIERRA // TEQUILA VALLEY, JALISCO, MEXICO",4.17,14,JOHN RANKIN,91,40.0,3,FORMER WHISKY AND COGNAC BARRELS,NAS
CÓDIGO 1530 ROSA TEQUILA,TEQUILA BLANCO,"CÓDIGO 1530 // JALISCO, MEXICO",3.89,90,JACK ROBERTIELLO,91,40.0,3,EX-NAPA CABERNET SAUVIGNON FRENCH WHITE OAK,NAS
DEL MAGUEY WILD PAPALOME MEZCAL,MEZCAL JOVEN,"DEL MAGUEY // OAXACA, MEXICO",4.38,13,OMARI WHEAT,91,45.0,4,UNAGED,NAS
DEL MAGUEY ESPADÍN ESPECIAL MEZCAL,MEZCAL JOVEN,"DEL MAGUEY // OAXACA, MEXICO",3.46,7,OMARI WHEAT,91,45.0,4,UNAGED,NAS
MEZCAL MARCA NEGRA ENSAMBLE,MEZCAL JOVEN,"MEZCAL MARCA NEGRA // OAXACA, MEXICO",4.05,11,KELLEY SLAGLE,91,47.0,4,NONE,NAS
EL JOLGORIO PECHUGA MEZCAL,MEZCAL JOVEN,"EL JOLGORIO // OAXACA, MEXICO",4.52,20,JACOB GRIER,91,48.0,4,,NAS
WAHAKA MEZCAL ESPADÍN,MEZCAL JOVEN,"WAHAKA MEZCAL // OAXACA, MEXICO",3.96,64,DANIEL DJANG,91,40.0,2,UNAGED,NAS
MEZCAL PIERDE ALMAS PECHUGA,MEZCAL JOVEN,"PIERDE ALMAS // OAXACA, MEXICO",4.75,7,DANIEL DJANG,91,51.0,5,,NAS
EL TESORO REPOSADO TEQUILA,TEQUILA REPOSADO,"EL TESORO // LOS ALTOS, JALISCO, MEXICO",3.97,101,STEPHANIE MORENO,91,40.0,3,EX-BOURBON,NAS
MEZCAL PIERDE ALMAS COYOTE 2014,MEZCAL JOVEN,"OAXACA, MEXICO",,,RON BECHTOL,91,50.0,4,,
KOCH EL MEZCAL ARROQUEÑO,MEZCAL JOVEN,"OAXACA, MEXICO",3.95,5,OMARI WHEAT,91,47.0,4,,
DON JULIO 70 AÑEJO CLARO TEQUILA,TEQUILA AÑEJO,"DON JULIO // LOS ALTOS, JALISCO, MEXICO",4.25,287,STEPHANIE MORENO,91,40.0,3,USED AMERICAN OAK,NAS
CASA DRAGONES SIPPING TEQUILA JOVEN,TEQUILA JOVEN,"CASA DRAGONES // TEQUILA VALLEY, JALISCO, MEXICO",4.58,75,DUNCAN MCROBERTS,91,40.0,5,,NAS
MEZCAL PIERDE ALMAS BOTANICA +9,MEZCAL JOVEN,"MEZCAL PIERDE ALMAS // OAXACA, MEXICO",4.02,10,DANIEL DJANG,91,45.0,4,UNAGED,NAS
HERENCIA MEXICANA EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,"LOS ALTOS, JALISCO, MEXICO",3.25,3,OMARI WHEAT,91,40.0,4,,
HERENCIA MEXICANA AÑEJO TEQUILA,TEQUILA AÑEJO,"LOS ALTOS, JALISCO, MEXICO",4.56,12,OMARI WHEAT,91,40.0,2,,
TEQUILA GRAN DOVEJO BLANCO,TEQUILA BLANCO,"LOS ALTOS, JALISCO, MEXICO",3.0,2,DISTILLER STAFF,91,40.0,2,,
TEQUILA OCHO AÑEJO LOS CORRALES 2010,TEQUILA AÑEJO,"TEQUILA OCHO // LOS ALTOS, JALISCO, MEXICO",4.42,3,DANIEL DJANG,91,40.0,3,,
TEQUILA OCHO PLATA LOS CORRALES 2010,TEQUILA BLANCO,"TEQUILA OCHO // LOS ALTOS, JALISCO, MEXICO",,,DANIEL DJANG,91,40.0,3,,NAS
123 ORGANIC BLANCO (UNO) TEQUILA,TEQUILA BLANCO,"TEQUILA VALLEY, JALISCO, MEXICO",4.19,34,RYAN CONKLIN,91,40.0,2,,
TEQUILA CABEZA BLANCO,TEQUILA BLANCO,"LOS ALTOS, JALISCO, MEXICO",4.17,9,STEPHANIE MORENO,91,43.0,2,,
MEZCAL ALIPÚS SAN ANDRES,MEZCAL JOVEN,"OAXACA, MEXICO",4.0,61,STEPHANIE MORENO,91,46.8,2,,
TEQUILA OCHO PLATA MESA COLORADA PUNTAS DISTILLER'S CUT 2023,TEQUILA BLANCO,"TEQUILA OCHO // JALISCO, MEXICO",4.44,8,STEPHANIE MORENO,90,53.0,3,,NAS
EL TESORO MUNDIAL COLLECTION: LAPHROAIG EDITION (2023 RELEASE),TEQUILA AÑEJO,"EL TESORO // LOS ALTOS, JALISCO, MEXICO",4.63,4,STEPHANIE MORENO,90,40.0,5,LAPHROAIG 10 YEAR SINGLE MALT CASKS,NAS
PATRÓN EL CIELO,TEQUILA BLANCO,"PATRÓN // LOS ALTOS, JALISCO, MEXICO",3.15,5,STEPHANIE MORENO,90,40.0,4,,NAS
NOCHELUNA SOTOL,SOTOL,"NOCHELUNA // CHIHUAHUA, MEXICO",4.56,4,STEPHANIE MORENO,90,43.0,3,,NAS
AVIÓN RESERVA CRISTALINO,TEQUILA AÑEJO,AVIÓN // MEXICO,3.38,2,STEPHANIE MORENO,90,40.0,4,AMERICAN OAK,NAS
GRAN CENTENARIO LEYENDA EXTRA AÑEJO,TEQUILA EXTRA AÑEJO,"GRAN CENTENARIO // JALISCO, MEXICO",4.23,18,ANNA ARCHIBALD,90,40.0,4,NEW AMERICAN OAK,NAS
LOS VECINOS DEL CAMPO ENSAMBLE NO. 1 MEZCAL,MEZCAL JOVEN,"LOS VECINOS DEL CAMPO // OAXACA, MEXICO",3.58,3,ANNA ARCHIBALD,90,45.0,3,UNAGED,NAS
DOS HOMBRES ESPADIN MEZCAL,MEZCAL JOVEN,"DOS HOMBRES // OAXACA, MEXICO",3.7,59,AMANDA SCHUSTER,90,42.0,3,UNAGED,NAS
CENOTE CRISTALINO AÑEJO TEQUILA,TEQUILA AÑEJO,CENOTE // MEXICO,3.93,8,STEPHANIE MORENO,90,40.0,3,AMERICAN OAK,NAS
VIVA XXXII TEQUILA JOVEN,TEQUILA JOVEN,VIVA XXXII // MEXICO,4.13,2,JOHN RANKIN,90,40.0,2,,NAS
VOLCÁN DE MI TIERRA BLANCO TEQUILA,TEQUILA BLANCO,"VOLCÁN DE MI TIERRA // TEQUILA VALLEY, JALISCO, MEXICO",4.03,33,JOHN RANKIN,90,40.0,2,,NAS
CÓDIGO 1530 REPOSADO TEQUILA,TEQUILA REPOSADO,"CÓDIGO 1530 // JALISCO, MEXICO",4.06,68,COLIN HOWARD,90,40.0,3,EX-NAPA CABERNET SAUVIGNON FRENCH WHITE OAK BARRELS,NAS
BLUE NECTAR REPOSADO SPECIAL CRAFT TEQUILA,TEQUILA REPOSADO,"BLUE NECTAR // TEQUILA VALLEY, JALISCO, MEXICO",3.42,3,RON BECHTOL,90,40.0,3,CHARRED AMERICAN OAK,NAS
EL TESORO PARADISO EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,"EL TESORO // HIGHLANDS, MEXICO",4.25,38,STEPHANIE MORENO,90,40.0,5,EX-COGNAC,NAS
TEQUILA SAN MATIAS TAHONA BLANCO,TEQUILA BLANCO,"TEQUILA SAN MATIAS // LOS ALTOS, JALISCO, MEXICO",3.85,13,STEPHANIE MORENO,90,40.0,3,UNAGED,NAS
MEZCAL JARAL DE BERRIO,MEZCAL JOVEN,"HACIENDA JARAL DE BERRIO // GUANAJUATO , MEXICO",3.34,12,AMANDA SCHUSTER,90,40.0,1,UNAGED,NAS
MUCHA LIGA INVICTO AÑEJO TEQUILA,TEQUILA AÑEJO,"MUCHA LIGA // JALISCO, MEXICO",4.22,9,AMANDA SCHUSTER,90,40.0,3,EX-BOURBON,NAS
ALACRÁN REPOSADO TEQUILA,TEQUILA REPOSADO,"AUTÉNTICO ALACRÁN // LOS ALTOS, JALISCO, MEXICO",3.25,2,RON BECHTOL,90,35.0,2,AMERICAN OAK,NAS
ARTA TEQUILA REPOSADO,TEQUILA REPOSADO,"ARTA TEQUILA // TEQUILA VALLEY, JALISCO, MEXICO",3.67,3,AMANDA SCHUSTER,90,40.0,2,EX-BOURBON,NAS
REY CAMPERO TEPEXTATE MEZCAL,MEZCAL JOVEN,"REY CAMPERO // OAXACA, MEXICO",4.04,15,AMANDA SCHUSTER,90,48.0,4,,NAS
VILLA LOBOS BLANCO TEQUILA,TEQUILA BLANCO,"VILLA LOBOS // LOS ALTOS, JALISCO, MEXICO",3.88,2,OMARI WHEAT,90,40.0,2,,NAS
OCHO CIENTOS SOTOL BLANCO,SOTOL,"OCHO CIENTOS // CHIHUAHUA , MEXICO",3.0,3,AMANDA SCHUSTER,90,43.0,2,,NAS
DEL MAGUEY TOBALÁ MEZCAL,MEZCAL JOVEN,"DEL MAGUEY // OAXACA, MEXICO",4.19,50,KELLEY SLAGLE,90,45.0,4,UNAGED,NAS
SIETE LEGUAS AÑEJO TEQUILA,TEQUILA AÑEJO,"SIETE LEGUAS // LOS ALTOS, JALISCO, MEXICO",4.09,65,KELLEY SLAGLE,90,40.0,3,WHITE OAK,NAS
EL JOLGORIO MEXICANO MEZCAL,MEZCAL JOVEN,"EL JOLGORIO // OAXACA, MEXICO",4.21,12,JACOB GRIER,90,47.0,4,,NAS
MEZCAL PIERDE ALMAS CONEJO,MEZCAL JOVEN,"PIERDE ALMAS // OAXACA, MEXICO",4.81,4,DANIEL DJANG,90,51.2,5,,NAS
DEL MAGUEY SAN LUIS DEL RIO MEZCAL,MEZCAL JOVEN,"DEL MAGUEY // OAXACA, MEXICO",4.18,35,STEPHANIE MORENO,90,47.0,3,UNAGED,NAS
ILEGAL MEZCAL REPOSADO,MEZCAL REPOSADO,"ILEGAL // OAXACA, MEXICO",3.94,84,AMANDA SCHUSTER,90,40.0,3,NEW & USED AMERICAN OAK,NAS
MEZCALES DE LEYENDA DURANGO,MEZCAL JOVEN,"MEZCAL DE LEYENDAS // DURANGO, MEXICO",3.78,28,JOHN RANKIN,90,40.0,3,,
MILAGRO SELECT BARREL RESERVE AÑEJO TEQUILA,TEQUILA AÑEJO,"MILAGRO // LOS ALTOS, JALISCO, MEXICO",4.13,69,KATRINA NIEMISTO,90,40.0,4,AMERICAN AND FRENCH OAK,NAS
GRAN CENTENARIO AÑEJO TEQUILA,TEQUILA AÑEJO,"GRAN CENTENARIO // JALISCO, MEXICO",4.03,152,KATRINA NIEMISTO,90,40.0,2,FRENCH LIMOUSIN OAK,NAS
FIDENCIO TOBALÁ MEZCAL,MEZCAL JOVEN,"FIDENCIO // OAXACA, MEXICO",3.9,5,OMARI WHEAT,90,45.5,4,UNAGED,NAS
REY CAMPERO MADRE CUISHE MEZCAL,MEZCAL JOVEN,"REY CAMPERO // OAXACA, MEXICO",4.04,13,RON BECHTOL,90,48.6,4,,
REY CAMPERO TOBALÁ MEZCAL,MEZCAL JOVEN,"REY CAMPERO // OAXACA, MEXICO",4.94,4,RON BECHTOL,90,48.9,4,,
MEZCAL VAGO COYOTE EN BARRO,MEZCAL JOVEN,"MEZCAL VAGO // OAXACA, MEXICO",3.38,2,DUNCAN MCROBERTS,90,51.0,3,UNAGED,NAS
TEQUILA 1921 AÑEJO,TEQUILA AÑEJO,"LOS ALTOS, JALISCO, MEXICO",4.09,15,AMANDA SCHUSTER,90,40.0,2,,
KOCH EL MEZCAL MADRECUISHE,MEZCAL JOVEN,"OAXACA, MEXICO",5.0,1,OMARI WHEAT,90,47.0,4,,
TEQUILA ARTENOM SELECCIÓN DE 1414 REPOSADO,TEQUILA REPOSADO,"TEQUILA ARTENOM // LOS ALTOS, JALISCO, MEXICO",4.11,29,DUNCAN MCROBERTS,90,,3,EX-BOURBON,NAS
DULCE VIDA REPOSADO 100 PROOF TEQUILA,TEQUILA REPOSADO,"DULCE VIDA // LOS ALTOS, JALISCO, MEXICO",4.21,27,RON BECHTOL,90,50.0,2,EX-BOURBON,NAS
RIAZUL PLATA TEQUILA,TEQUILA BLANCO,"LOS ALTOS, JALISCO, MEXICO",4.0,14,AMANDA SCHUSTER,90,40.0,2,,
DEL MAGUEY IBÉRICO MEZCAL,MEZCAL JOVEN,"OAXACA, MEXICO",4.45,22,OMARI WHEAT,90,49.0,5,UNAGED,
BRUXO NO.1 ESPADÍN MEZCAL,MEZCAL JOVEN,"OAXACA, MEXICO",3.46,25,AMANDA SCHUSTER,90,46.0,2,,
HERRADURA DOUBLE BARREL REPOSADO TEQUILA,TEQUILA REPOSADO,"TEQUILA VALLEY, JALISCO, MEXICO",4.29,46,DANIEL DJANG,90,40.0,2,,
CORZO TEQUILA REPOSADO,TEQUILA REPOSADO,"LOS ALTOS, JALISCO, MEXICO",3.89,28,BROCK SCHULTE,90,40.0,3,,
HERRADURA COLECCIÓN DE LA CASA RESERVA 2012 PORT CASK FINISH REPOSADO,TEQUILA REPOSADO,"TEQUILA VALLEY, JALISCO, MEXICO",4.0,3,DISTILLER STAFF,90,40.0,4,,
HERENCIA MEXICANA REPOSADO TEQUILA,TEQUILA REPOSADO,"LOS ALTOS, JALISCO, MEXICO",4.05,5,OMARI WHEAT,90,40.0,2,,
CORAZÓN BLANCO TEQUILA,TEQUILA BLANCO,"LOS ALTOS, JALISCO, MEXICO",4.2,80,BROCK SCHULTE,90,40.0,2,,
JOSE CUERVO RESERVA DE LA FAMILIA TEQUILA,TEQUILA EXTRA AÑEJO,"TEQUILA VALLEY, JALISCO, MEXICO",4.45,219,DISTILLER STAFF,90,40.0,5,,
TEQUILA TAPATIO BLANCO 110,TEQUILA BLANCO,"TEQUILA TAPATIO // LOS ALTOS, JALISCO, MEXICO",4.4,21,AMANDA SCHUSTER,90,55.0,3,,NAS
SOMBRA MEZCAL,MEZCAL JOVEN,"OAXACA, MEXICO",3.69,109,OMARI WHEAT,90,45.0,2,,
KOCH EL MEZCAL ENSEMBLE,MEZCAL JOVEN,"KOCH EL MEZCAL // OAXACA, MEXICO",4.31,9,OMARI WHEAT,90,47.0,3,UNAGED,NAS
MEZCAL ALIPÚS SAN BALTAZAR,MEZCAL JOVEN,"MEZCAL ALIPÚS // OAXACA, MEXICO",3.92,27,OMARI WHEAT,90,48.4,2,,NAS
TEQUILA OCHO REPOSADO EL PUERTECITO 2011,TEQUILA REPOSADO,"TEQUILA OCHO // LOS ALTOS, JALISCO, MEXICO",,,DANIEL DJANG,90,40.0,3,TEQUILA-SEASONED AMERICAN OAK EX-AMERICAN WHISKEY BARRELS,
TEQUILA OCHO EXTRA AÑEJO EL VERGEL 2007,TEQUILA EXTRA AÑEJO,"TEQUILA OCHO // LOS ALTOS, JALISCO, MEXICO",4.25,1,DANIEL DJANG,90,40.0,4,,
PARTIDA BLANCO TEQUILA,TEQUILA BLANCO,"PARTIDA // TEQUILA VALLEY, JALISCO, MEXICO",3.69,27,STEPHANIE MORENO,90,40.0,2,UNAGED,NAS
SUERTE EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,"SUERTE // LOS ALTOS, JALISCO, MEXICO",4.43,7,DANIEL DJANG,90,40.0,4,CHARRED WHITE OAK WHISKEY BARRELS,NAS
TEQUILA TAPATIO BLANCO,TEQUILA BLANCO,"TEQUILA TAPATIO // LOS ALTOS, JALISCO, MEXICO",3.92,37,DUNCAN MCROBERTS,90,40.0,2,,NAS
TEQUILA OCHO REPOSADO LA MAGUEYERA 2014,TEQUILA REPOSADO,"TEQUILA OCHO // LOS ALTOS, JALISCO, MEXICO",4.55,16,AMANDA SCHUSTER,90,40.0,3,TEQUILA-SEASONED AMERICAN OAK EX-AMERICAN WHISKEY BARRELS,
REAL MINERO ARROQUEÑO MEZCAL,MEZCAL JOVEN,"MEZCAL REAL MINERO // OAXACA, MEXICO",4.72,8,OMARI WHEAT,90,51.75,5,NONE,NAS
EXPRESIONES DEL CORAZÓN ARTISANAL EDITION BLANCO (2ND RELEASE),TEQUILA BLANCO,"TEQUILA CORAZÓN // LOS ALTOS, JALISCO, MEXICO",4.5,2,AMANDA SCHUSTER,90,40.0,3,,NAS
